1531 1 3 1 41023.438993056 30 13982 13.814 21.989 8.3053 6.6282 7.7199 5.2615 1.4868
233 1 2 5 40745.303888889 30 124897 18.696 279.817 14.8325 17.2203 14.1329 15.9546 1.4462
237 1 2 5 40745.309722222 30 124897 17.097 281.056 12.3901 13.7028 11.6514 12.8916 1.0971
2617 6 2 2 41061.417881945 30 129989 34.312 278.772 -16.4502 19.2602 -16.2197 18.2197 1.0658
1075 5 3 8 40990.232430556 30 126129 24.525 99.541 -3.4018 -2.9503 -3.6855 -3.9467 1.036
1856 6 2 3 41059.188090278 30 64960 14.918 278.379 -17.8787 9.372 -17.3243 8.5417 0.9984
2247 4 2 8 41060.333738426 30 82328 18.007 323.086 0.3265 -17.5587 0.4903 -16.6645 0.909
234 1 2 5 40745.305671296 30 124897 18.207 280.196 14.0876 16.1378 13.4395 15.5356 0.8847
178 2 1 14 40737.232986111 30 143275 24.906 201.853 11.8766 1.0352 12.6952 1.2639 0.8499
1686 1 3 1 41044.264942130 30 218753 16.483 23.342 5.4125 12.316 4.8078 12.8824 0.8285
949 6 2 2 40974.097494213 5 -2 32.643 259.806 18.71 15.46 18.4769 14.6657 0.8278
1074 5 3 8 40990.231597222 30 126129 24.296 99.333 -2.9968 -3.4589 -3.1875 -4.2137 0.7785
1457 1 3 0 41023.307870370 30 216228 21.861 18.838 14.5027 -8.0244 14.6701 -7.2808 0.7622
2628 6 2 2 41061.427002315 30 129989 31.802 280.579 -20.3224 13.9784 -19.5617 13.9745 0.7607
2618 6 2 2 41061.419016204 30 129989 33.999 278.999 -16.9247 18.5969 -16.6741 17.9065 0.7345
695 1 1 1 40935.459212963 30 146791 15.07 109.255 3.6641 7.8592 3.5607 8.5768 0.725
2639 6 2 2 41061.435821759 30 124897 19.396 279.267 -20.001 -13.787 -19.3363 -13.5293 0.7129
2625 6 2 2 41061.424629630 30 129989 32.454 280.112 -19.3022 15.3416 -18.8198 14.8769 0.6698
236 1 2 5 40745.308784722 30 124897 17.353 280.857 12.7835 14.2633 12.2609 13.8562 0.6625
869 4 1 14 40950.204236111 30 36673 30.488 199.922 14.2591 10.7567 13.7233 10.3941 0.647
2627 6 2 2 41061.426203704 30 129989 32.022 280.422 -19.978 14.4364 -19.45 14.064 0.6461
2592 6 2 2 41061.397546296 30 125451 27.066 264.682 9.9495 2.5491 10.4524 2.9416 0.6379
1896 6 2 7 41059.241099537 30 62509 6.678 301.08 9.6337 -8.3775 9.6696 -9.0143 0.6378
1487 6 3 3 41023.353148148 30 213558 18.159 38.836 10.5183 15.8905 10.9107 16.3718 0.621
1283 1 3 5 41009.210335648 30 157779 16.405 55.062 14.1517 12.493 13.8043 11.9831 0.6169
2619 6 2 2 41061.419803241 30 129989 33.782 279.155 -17.2551 18.1378 -16.8703 17.6646 0.6099
1437 4 3 2 41023.289756945 30 195556 21.097 43.137 1.5275 -10.6347 1.7987 -10.1091 0.5914
1908 6 2 7 41059.251331019 30 60179 5.254 307.69 -4.2739 -11.4957 -3.6881 -11.4839 0.586
2644 3 2 2 41061.439826389 30 137471 29.591 265.977 7.2843 8.026 7.7525 8.3561 0.5729
1086 5 3 8 40990.242418982 30 126129 27.262 102.079 -8.2315 3.1778 -8.3545 2.6274 0.564
1286 1 3 5 41009.212754630 30 157779 16.959 55.5 13.2132 13.6673 12.7868 13.3071 0.5582
1891 6 2 7 41059.236770833 30 60179 8.494 304.645 2.102 -4.6085 2.6475 -4.6919 0.5518
1075 5 3 8 40990.232430556 30 129247 24.39 92.021 11.5941 -3.1057 11.6655 -3.6368 0.5359
1897 6 2 7 41059.241909722 30 62509 6.487 301.252 9.278 -8.7883 9.6667 -9.1493 0.5305
1085 5 3 8 40990.241342593 30 126129 26.969 101.801 -7.7126 2.5138 -7.8779 2.0104 0.5298
2592 6 2 2 41061.397546296 30 126661 32.142 269.27 1.0028 13.579 0.841 14.082 0.5283
2322 4 2 8 41060.398668982 30 102224 20.489 315.645 15.7913 -11.6667 15.8179 -11.1405 0.5268
1769 4 3 10 41044.367395833 30 191692 29.178 118.474 -5.0154 6.9687 -5.3002 7.4106 0.5257
1861 6 2 3 41059.193842593 30 76294 18.471 262.366 15.1727 17.0208 15.5865 16.6967 0.5256
2620 6 2 2 41061.420613426 30 121370 19.128 278.449 -18.3099 -14.4911 -17.9574 -14.1104 0.5188
1284 1 3 5 41009.211145833 30 157779 16.59 55.209 13.8362 12.8852 13.563 12.4463 0.517
1377 1 3 2 41023.214293982 30 164058 28.432 45.022 -2.1677 5.497 -2.618 5.2493 0.5139
1261 1 3 6 41009.183541667 30 137909 25.098 71.935 15.6232 -1.0088 16.1353 -1.0434 0.5133
782 4 1 6 40950.115729167 30 46328 21.788 151.624 -13.7989 -3.2338 -13.2858 -3.2194 0.5133
1081 5 3 8 40990.238020833 30 126129 26.06 100.95 -6.1095 0.4709 -6.4922 0.1309 0.5119
869 4 1 14 40950.204236111 30 36079 27.375 200.144 14.2686 5.3978 13.7853 5.2525 0.5047
1860 6 2 3 41059.191400463 30 76294 19.145 261.776 16.3563 18.5521 16.4639 18.0603 0.5034
1423 1 3 2 41023.278171296 30 192577 19.737 45 -2.331 -13.6329 -2.0291 -13.2299 0.5034
1771 4 3 10 41044.369016204 30 191692 29.574 118.967 -5.9343 7.8616 -6.2425 8.2573 0.5016
794 4 1 5 40950.129953704 30 52877 16.812 151.558 -12.9607 11.0968 -12.694 10.6782 0.4964
1261 1 3 6 41009.183541667 30 140436 20.799 72.482 14.9955 -10.5176 15.4384 -10.7386 0.4949
