  12815 HD126129
  10104 HD062509
   8249 HD129247
   7539 HD191692
   6702 SATURN
   6228 HD144217
   6116 HD060179
   5936 HD131156
   5527 HD102224
   5499 HD216228
   5379 HD124897
   5107 HD195556
   4922 HD061421
   4915 HD129175
   4623 HD129972
   4552 HD224572
   4378 HD206901
   4246 HD121370
   3960 HD098118
   3958 HD157779
   3906 HD078732
   3671 HD192696
   3481 HD058972
   3425 HD079931
   3382 HD202275
   3236 HD110379
   3054 HD058923
   3018 HD156283
   3018 HD060357
   3002 HD160762
   2982 HD058207
   2958 HD051199
   2948 HD211388
   2931 HD104181
   2867 HD213310
   2825 HD212496
   2732 HD074395
   2600 HD091480
   2464 HD112300
   2341 HD081937
   2215 HD063975
   2208 HD091312
   2079 HD185395
   2061 HD059881
   2058 HD126661
   2055 HD110951
   2028 HD189037
   2020 HD127665
   2014 HD224355
   2014 HD046184
   2002 HD090839
   2002 HD021291
   1997 HD098664
   1995 HD213558
   1989 HD137471
   1979 HD091316
   1961 HD053974
   1941 HD047442
   1930 HD074280
   1900 HD196321
   1803 HD043827
   1778 HD075333
   1731 HD211336
   1682 HD137909
   1670 HD186882
   1659 HD049048
   1550 HD135722
   1399 HD082328
   1311 HD129989
   1258 VENUS
   1238 HD078556
   1223 HD100563
   1221 HD210027
   1216 HD051309
   1214 HD207260
   1203 HD215182
   1174 HD060111
   1124 HD195774
   1122 HD075737
   1120 HD089021
   1112 HD073262
   1109 HD128167
   1098 HD074874
   1097 HD217906
   1086 HD084999
   1081 HD091612
   1071 HD083425
   1057 HD129174
   1052 HD092787
   1046 HD110423
   1045 HD203562
   1035 HD050707
   1035 HD000571
   1029 HD079028
   1029 HD077800
   1026 HD192577
   1023 HD049331
   1022 HD212120
   1022 HD059550
   1019 HD163588
   1015 HD102124
   1014 HD129312
   1014 HD125560
   1013 HD104321
   1010 HD217476
   1010 HD120136
   1007 HD218753
   1007 HD210354
   1004 HD085558
   1003 HD079910
   1001 HD203467
   1000 HD219080
   1000 HD076932
    997 HD046933
    996 HD209945
    996 HD136138
    996 HD080050
    995 HD107328
    995 HD105702
    994 HD213306
    994 HD140436
    992 HD066664
    992 HD046241
    992 HD006961
    990 HD069267
    989 HD099648
    989 HD045320
    987 HD195725
    987 HD133208
    987 HD089758
    986 MARS
    985 HD212593
    984 HD078668
    977 HD210459
    976 HD098353
    976 HD055751
    975 HD013982
    974 HD134943
    974 HD061064
    972 HD073840
    971 HD081809
    971 HD044951
    970 HD040183
    967 HD204770
    967 HD050778
    966 HD125451
    963 HD064960
    959 HD080499
    956 HD161096
    951 HD188056
    949 HD058286
    944 HD164058
    930 HD021389
    912 HD202447
    911 HD097585
    884 HD107950
    844 HD045546
    728 HD213420
    708 HD192909
    649 HD127762
    557 HD083754
    530 HD146791
    524 HD060178
    471 HD056405
    394 HD061330
    390 HD149757
    348 HD049229
    337 HD221253
    329 HD143275
    238 HD118098
    229 HD060863
    223 HD071155
    212 HD073471
    174 HD045416
    137 HD196758
    127 HD107259
    118 HD135742
    114 HD137391
     98 HD196574
     89 HD095689
     85 HD029291
     80 HD041695
     75 HD124294
     71 HD201601
     69 HD211073
     67 HD034029
     61 HD078154
     60 HD083808
     57 HD141513
     46 HD109387
     46 HD032831
     45 HD068290
     44 HD127972
     42 HD074739
     39 HD203280
     34 HD079469
     33 HD139006
     33 HD088284
     33 HD040808
     31 HD065695
     31 HD054716
     28 HD074988
     28 HD074918
     28 HD043785
     26 HD210418
     26 HD087504
     26 HD084441
     24 HD148857
     24 HD029755
     23 HD206859
     23 HD058350
     23 HD029503
     20 HD148478
     20 HD119149
     20 HD069897
     19 HD055185
     17 HD125351
     17 HD070060
     17 HD045813
     16 HD156164
     16 HD060522
     16 HD030814
     15 HD114330
     15 HD042301
     15 HD034642
     14 HD092728
     12 HD209750
     12 HD057821
     12 HD041841
     12 HD041312
     11 HD053138
     11 HD044112
     10 HD093702
     10 HD065953
     10 HD063700
     10 HD036597
     10 HD030606
      9 HD116658
      9 HD090994
      9 HD065228
      8 HD042111
      7 HD153210
      7 HD053244
      6 HD094264
      6 HD069081
      6 HD066141
      6 HD051250
      5 HD143018
      5 HD095418
      5 HD056855
      5 HD034310
      4 HD214923
      4 HD198026
      4 HD145502
      4 HD130841
      4 HD103287
      4 HD077353
      4 HD047670
      4 HD044402
      4 HD044131
      4 HD030495
      3 HD197345
      3 HD102870
      3 HD081997
      3 HD074137
      3 HD067523
      3 HD027376
      2 HD156266
      2 HD144608
      2 HD129456
      2 HD110411
      2 HD096833
      2 HD094247
      2 HD068312
      2 HD059890
      2 HD039764
      2 HD028028
      1 HD164353
      1 HD156014
      1 HD100920
      1 HD099055
      1 HD090254
      1 HD082621
      1 HD075486
      1 HD073108
      1 HD059612
      1 HD056139
      1 HD046328
      1 HD037495
      1 HD034968
      1 HD009927
      1 HD003712
