 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,2203.396,39.163,13,78,939.710,672.823,939.400,671.913,0,0,0,star
2,1414.326,49.936,22,74,828.090,467.871,827.976,467.626,0,0,0,star
3,0.000,16.000,16,16,333.306,136.980,333.479,137.152,7,0,4,corner
4,0.000,10.000,10,10,1052.365,137.670,1052.537,137.843,7,0,4,corner
5,0.000,83.000,83,83,1051.675,780.130,1051.847,780.303,7,0,4,corner
6,0.000,48.000,48,48,332.386,776.335,332.444,776.507,7,0,4,corner
