 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,1.000,1,1,321.158,147.806,321.101,147.977,31,0,4,corner
2,0.000,31.000,31,31,1038.746,135.146,1038.917,135.318,31,0,4,corner
3,0.000,103.000,103,103,1049.694,778.033,1049.866,778.204,31,0,4,corner
4,0.000,7.000,7,7,329.484,787.271,329.655,787.442,31,0,4,corner
5,2065.789,23.209,0,68,467.196,615.686,467.609,614.599,0,0,0,star
6,1459.994,22.978,0,66,757.504,515.952,757.198,515.391,0,0,0,star
7,2426.456,26.009,0,85,968.778,669.232,967.143,667.043,0,0,0,star
