 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,22.000,22,22,322.185,145.297,322.128,145.240,13,0,4,corner
2,0.000,38.000,38,38,1039.202,135.261,1039.259,135.318,13,0,4,corner
3,0.000,87.000,87,87,1049.010,777.805,1049.181,777.862,13,0,4,corner
4,0.000,25.000,25,25,328.685,785.560,328.628,785.731,13,0,4,corner
5,1764.823,25.654,0,102,344.196,671.284,344.298,670.420,0,0,0,star
6,650.395,27.638,0,97,329.141,600.119,329.196,600.287,0,0,0,star
7,1650.571,24.912,0,95,575.484,602.172,575.353,602.115,0,0,0,star
8,1459.994,29.255,0,72,532.374,463.262,532.490,463.016,0,0,0,star
9,1601.873,38.568,0,91,656.914,416.046,657.005,415.225,0,0,0,star
10,2145.976,30.744,0,76,958.342,347.617,957.849,347.427,0,0,0,star
