 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,145,145,145,332.961,135.255,333.134,135.427,2,0,4,corner
2,0.000,223,223,223,1052.882,137.498,1052.882,137.498,2,0,4,corner
3,0.000,211,211,211,1051.905,780.705,1051.847,780.648,2,0,4,corner
4,0.000,183,183,183,332.271,776.852,332.444,776.852,2,0,4,corner
