 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,24.000,24,24,323.376,131.796,323.546,131.966,5,0,4,corner
2,0.000,26.000,26,26,1038.516,129.531,1038.573,129.588,5,0,4,corner
3,0.000,32.000,32,32,1040.781,766.319,1040.951,766.489,5,0,4,corner
4,0.000,17.000,17,17,327.452,769.037,327.622,769.206,5,0,4,corner
5,2378.270,43.654,16,77,466.721,716.046,466.885,716.300,0,0,0,star
6,1866.894,49.009,20,78,474.873,572.701,474.878,572.491,0,0,0,star
7,1771.818,54.155,17,90,627.050,534.657,627.397,534.102,0,0,0,star
8,1573.821,50.746,25,82,621.615,495.254,621.422,495.488,0,0,0,star
9,1933.354,41.447,12,72,834.935,619.577,834.977,619.209,0,0,0,star
10,1715.511,58.499,25,89,741.183,331.528,740.962,331.492,0,0,0,star
11,1573.821,38.138,13,66,868.903,660.339,868.435,659.719,0,0,0,star
12,1827.202,45.247,18,75,902.191,472.835,902.168,472.700,0,0,0,star
