 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice,Counter,Count
1,0.000,18.000,18,18,320.930,145.753,321.101,145.924,3,0,4,corner
2,0.000,68.000,68,68,1039.088,135.146,1039.259,135.318,3,0,4,corner
3,0.000,42.000,42,42,1050.721,776.322,1050.892,776.493,3,0,4,corner
4,0.000,42.000,42,42,327.773,786.587,327.944,786.758,3,0,4,corner
5,2067.779,97.720,13,142,416.388,478.316,416.628,477.598,0,0,0,star
6,1984.899,92.641,19,141,435.890,550.166,435.983,549.532,0,0,0,star
7,1125.666,97.980,7,214,1047.299,735.778,1047.291,734.686,0,0,0,star
8,1701.610,86.754,21,134,671.969,494.739,672.137,494.411,0,0,0,star
9,1853.790,100.816,30,141,645.966,353.091,645.954,352.645,0,0,0,star
10,1699.737,115.254,44,141,773.927,313.403,773.861,313.108,0,0,0,star
