 PMT #,X,Y
1,381.6990311,175.9907044
2,423.27553,176.3104862
3,464.5859074,176.2273436
4,505.8246034,175.365553
5,548.3518665,175.3474526
6,589.861941,174.835655
7,631.4481371,176.4930214
8,673.4636554,175.1563065
9,714.9019254,176.2824967
10,757.1718997,175.3439561
11,797.9539196,175.9192449
12,840.1791914,174.3311743
13,882.1018682,175.4959438
14,922.811256,174.6292448
15,965.2930173,174.8854755
16,1006.635893,174.1669366
32,985.0433644,210.2506339
48,1006.640534,246.7752203
64,985.9961479,282.2438806
80,1006.488951,319.7275692
96,986.2594824,355.5368545
112,1007.022081,391.2500587
128,985.7974049,426.5526626
144,1006.641097,463.1408863
160,986.4022254,499.461978
176,1007.895309,534.8546611
192,986.3808786,570.581133
208,1007.703245,607.9894149
224,986.5445934,643.7320664
240,1006.702912,679.7512636
256,985.9138116,716.7219645
255,945.6056069,716.8496952
254,903.6484513,716.3988113
253,862.3578538,717.6396829
252,821.0487441,716.0374451
251,779.2500885,717.2035526
250,736.9421265,716.9880966
249,696.0172738,717.2264452
248,654.6003172,718.006403
247,612.7550736,717.931947
246,570.1359655,718.019315
245,529.101104,718.4597182
244,488.0046069,718.3230087
243,447.1368317,719.2872306
242,403.8400369,719.2892024
241,361.7528126,719.5290035
225,384.7171494,683.4099154
209,361.3463249,645.9196405
193,383.2804239,611.8339135
177,361.9305908,574.4422214
161,382.8238975,539.0077513
145,362.4484482,502.035267
129,382.2185946,465.7129165
113,360.5303547,430.176295
97,382.8471791,392.6461892
81,361.1937738,357.9495959
65,382.0816157,321.4428352
49,361.0248248,285.4483686
33,382.1162424,249.0304776
17,358.5664954,211.855319
136,673.9712241,464.374603
137,715.4144078,464.9235907
120,652.9919033,428.08308
