 ,X,Y,XM,YM,IntDen,RawIntDen,Slice
1,44.253860,5.457071,44.260647,5.463858,0.043489,236,0.027150
2,14.877985,5.687843,14.884772,5.694630,0.036302,197,0.027150
3,14.973008,30.801229,14.979796,30.808017,0.006081,33,0.027150
4,44.321734,30.774080,44.328521,30.780867,0.007740,42,0.027150
